ID	ORF	Product	Symbol	L.dono_2.5vs0hr_logFC	L.dono_2.5vs0hr_test	L.dono_5vs0hr_logFC	L.dono_5vs0hr_test	L.dono_7.5vs0hr_logFC	L.dono_7.5vs0hr_test	L.dono_10vs0hr_logFC	L.dono_10vs0hr_test	L.dono_15vs0hr_logFC	L.dono_15vs0hr_test	L.dono_24vs0hr_logFC	L.dono_24vs0hr_test	L.dono_144vs0hr_logFC	L.dono_144vs0hr_test
4767651	LinJ01.0010	Protein of unknown function (DUF2946)	N/A	0.304823626870768	0	0.645087657816074	0	1.2360124078161	1	1.05178881823746	0	1.4141991664548	1	0.862977433274235	0	-0.972337614690785	-1
4767652	LinJ01.0020	Endonuclease/Exonuclease/phosphatase family	N/A	0.405909283877741	0	0.345333109231497	0	0.763324242105347	0	0.354561617721578	0	0.731366398111875	0	0.378131174750576	0	-0.19453918743883	0
4767653	LinJ01.0030	Kinesin-13	KIN13-1	-0.299192122498562	0	-0.410242275830113	0	-0.55165749711821	0	-0.696958999635259	0	-0.741696877604545	0	-1.12379521633406	-1	-1.74193170442101	-1
4767654	LinJ01.0040	hypothetical protein - conserved	N/A	0.187530721407322	0	-0.00554143909920946	0	0.630657514396587	0	0.170415213843402	0	0.741630525182162	0	0.566677843964047	0	0.580694635166585	0
4767655	LinJ01.0050	carboxylase - putative	N/A	0.716902272422702	0	0.728795143628613	0	1.33562506053225	1	1.74429712507646	1	1.7437045705462	1	1.85176184142231	1	1.58425624577952	1
4767656	LinJ01.0060	hypothetical protein - conserved	N/A	-0.293982210255908	0	-0.449117179178353	0	-0.19341986739281	0	-0.0286759047166498	0	-0.203432980757169	0	-0.225126795973813	0	-0.456292290963122	0
4767657	LinJ01.0070	BSD domain containing protein - putative	N/A	-0.0610738703210725	0	0.0114322519213728	0	0.0119086809279905	0	-0.128362350729279	0	0.0893700377189672	0	-0.0456930899626151	0	0.114239163562844	0
4767658	LinJ01.0080	hypothetical protein - conserved	N/A	0.0511981924410252	0	0.022214393305414	0	0.0911930296972496	0	0.0284275886553207	0	0.0197498932504336	0	0.113860694129167	0	0.0861344709553071	0
4767659	LinJ01.0090	UMP-CMP kinase - mitochondrial - putative	N/A	0.095351306360234	0	0.0920326802334355	0	0.21588285225349	0	0.292248085700279	0	0.118493277382046	0	0.203211396439086	0	0.298263626177039	0
4767660	LinJ01.0100	Glycosyl transferase family 11 - putative	N/A	-0.376640063240045	0	-0.0557833913227288	0	-0.202712779173251	0	0.125085814196328	0	-0.310710055042366	0	-0.293410112194916	0	-0.137025733968292	0
