Gene.ID	ToxoDB_ID	Gene.Name.or.Symbol	Oocyst_4vs0d_logFC	Oocyst_4vs0d_test	Oocyst_10vs0d_logFC	Oocyst_10vs0d_test	Tachy_2dpi_vitro_vs_Oocyst_0d_logFC	Tachy_2dpi_vitro_vs_Oocyst_0d_test	Brady_4dpi_vitro_vs_Oocyst_0d_logFC	Brady_4dpi_vitro_vs_Oocyst_0d_test	Brady_8dpi_vitro_vs_Oocyst_0d_logFC	Brady_8dpi_vitro_vs_Oocyst_0d_test	Brady_21dpi_vivo_vs_Oocyst_0d_logFC	Brady_21dpi_vivo_vs_Oocyst_0d_test
TGME49_202230	20.m03703	HDAC5	1.078493446	1	1.315616353	1	0.505992872	0	0.401235138	0	0.082617101	0	0.645019192	0
TGME49_202490	20.m03722	AP2VIIA7	-0.872792064	-1	-1.07886175	-1	-0.765503459	-1	-0.943566597	-1	-0.876121766	-1	-0.70736905	-1
TGME49_203690	20.m03816	AP2VIIA5	-0.447533233	0	-0.415601146	0	-0.740522632	-1	-1.203539024	-1	-0.909681531	-1	-1.009814556	-1
TGME49_203710	20.m03817	AP2VIIA4	0.102948785	0	-0.232581749	0	0.289035543	0	0.317992123	0	0.737947523	1	0.410646354	0
TGME49_205650	20.m00367	AP2VIIA3	0.373988356	0	-0.202347211	0	1.503819578	1	1.653468668	1	1.581144027	1	1.307196555	1
TGME49_207080	23.m00146	MYSTB	-0.236675924	0	0.228259344	0	-0.092480118	0	-0.277733001	0	-0.710973977	-1	-0.135321444	0
TGME49_207160	23.m00152	SAG2C	-1.390676002	-1	-1.914916416	-1	-0.354539232	0	1.592831585	1	1.205027704	1	1.399471294	1
TGME49_211720	27.m00874	AP2IV5	1.150759147	1	0.686284655	1	0.13346608	0	-0.245760694	0	-0.258072845	0	-0.464639761	0
TGME49_214840	33.m01312	AP2X7	0.362440073	0	1.05915721	1	0.055000887	0	0.110405954	0	-0.287098996	0	-0.111657864	0
TGME49_214960	33.m01324	AP2X8	1.044587863	1	0.752661446	1	0.501693852	0	0.12201367	0	-0.055248933	0	0.562548454	1
TGME49_215340	33.m01358	AP2X10	1.262738188	1	0.710320388	1	-0.181747887	0	0.569245281	1	0.60164189	1	0.541226608	1
TGME49_215570	33.m01378	AP2X11	-0.317746536	0	-0.057610045	0	-0.293107156	0	-0.535841376	-1	-0.621884977	-1	-0.330940844	0
TGME49_216220	35.m00870	AP2XI5	-0.44443572	0	-0.495884343	0	-0.679882568	-1	-0.805737256	-1	-0.835853353	-1	-0.604611948	-1
TGME49_220530	39.m00368	AP2V1	1.03393131	1	0.899854391	1	-0.031483378	0	0.166861747	0	-0.041601539	0	0.27879574	0
TGME49_224050	42.m03330	AP2X4	0.677426923	1	0.882880038	1	1.047054542	1	0.683647254	1	0.778449654	1	0.489063588	0
TGME49_224230	42.m03342	AP2X3	-0.239893756	0	-0.36694921	0	-0.611987481	-1	-0.666917664	-1	-0.464749479	0	-0.612184952	-1
TGME49_225110	42.m03406	AP2X2	0.437996972	0	0.162741219	0	0.21897261	0	0.246473691	0	0.54050112	1	0.194662226	0
TGME49_227020	42.m00081	SIR2	0.297869647	0	0.269607396	0	-0.918598177	-1	0.010324405	0	-0.267793898	0	-0.132845666	0
TGME49_227290	42.m00014	HDAC3	-0.144592378	0	-0.317923741	0	0.771726905	1	0.894801932	1	0.641272092	1	0.501335625	1
TGME49_227900	42.m03592	AP2X1	0.282274295	0	-0.184291968	0	0.317810219	0	0.316924714	0	-0.101594702	0	0.72064648	1
TGME49_233120	44.m04659	AP2VIII2	-0.37841646	0	-0.218205898	0	-0.068431687	0	0.16633644	0	-0.366766799	0	0.630881181	1
TGME49_233460	44.m00009	SAG1	2.596954065	1	3.073899039	1	3.979990241	1	0.575373888	0	1.716558569	1	-0.74544491	-1
TGME49_240460	49.m03213	AP2VI1	0.156886695	0	-0.232685609	0	1.361578612	1	1.358814001	1	1.392278781	1	2.414571237	1
TGME49_240900	49.m03243	AP2VI2	-0.246628997	0	-0.386199167	0	-0.21493947	0	-0.448427097	-1	-0.037385062	0	0.013982933	0
TGME49_243440	49.m03346	GCN5B	-0.299746912	0	0.054260734	0	0.063054378	0	-0.301704918	0	0.074280535	0	-0.708965896	-1
TGME49_246660	50.m07136	AP2XII3	3.000688035	1	1.468138348	1	-0.239524818	0	-0.346970592	0	-0.840210835	-1	-0.057386183	0
TGME49_247700	50.m03194	AP2XII4	0.776191527	1	0.674483206	1	0.267710822	0	-0.042817572	0	0.076469348	0	0.148267443	0
TGME49_249190	50.m03282	AP2XII6	0.011137793	0	-0.083265842	0	1.390417314	1	0.788572859	1	1.010220184	1	0.415088323	0
TGME49_249620	50.m03318	HDAC2	0.473637858	1	0.560083313	1	0.662894256	1	0.531082236	1	0.777141611	1	0.42255955	0
TGME49_252370	52.m01544	AP2III1	-0.078484669	0	0.06472378	0	-0.312385817	0	-0.213335338	0	-0.561512838	-1	0.307908917	0
TGME49_253380	52.m01583	AP2III2	-0.649412974	-1	-0.762323614	-1	-0.260984345	0	-0.325923699	0	-0.647378694	-1	-0.462688333	0
TGME49_254555	52.m00008	GCN5A	-0.135941512	0	-0.17991667	0	-0.247085253	0	-0.515023844	-1	-0.124291657	0	-0.382591847	0
TGME49_255220	55.m04602	AP2VIIB3	0.08016846	0	-0.039944831	0	1.210790599	1	1.318568083	1	1.529511165	1	1.368124543	1
TGME49_259020	55.m00009	BAG1	-1.324999787	-1	-1.53177455	-1	1.129790651	1	4.775901069	1	4.272676369	1	4.928058089	1
TGME49_269010	59.m03424	AP2VIII7	1.05839699	1	1.141304155	1	0.735174197	1	0.670180187	1	0.917736595	1	1.140373241	1
TGME49_271030	59.m03550	AP2VIII6	0.354680806	0	1.395195896	1	-0.422608886	0	0.044409138	0	0.3986079	0	0.102257292	0
TGME49_271050	59.m00008	SAG2A	2.292439826	1	1.13295319	1	3.10452061	1	1.561953464	1	1.873131843	1	0.682644888	0
TGME49_273660	59.m03692	AP2VIII3	0.83889061	1	0.61664323	1	0.207342342	0	0.189093538	0	0.187189281	0	0.372293796	0
TGME49_280460	72.m00383	AP2VIIA2	1.434075066	1	2.054468196	1	1.187771695	1	1.000097131	1	1.828823566	1	2.975070722	1
TGME49_281420	74.m00425	HDAC1	-0.513623774	0	-0.44118771	0	-0.820627054	-1	-0.906061163	-1	-0.968361855	-1	-0.50810964	0
TGME49_282210	74.m00465	AP2VIIA8	0.20200876	0	0.841689802	1	0.182966418	0	0.423936396	0	0.399660827	0	0.20411792	0
