	GSM802515	GSM802516	GSM802517	GSM802518	GSM802519	GSM802520	GSM802521	GSM802522	GSM802523	GSM802524	GSM802525	GSM802526	GSM802527	GSM802528
1.m00014_at	3.94262104	4.156182812	3.272587272	3.793466737	4.39299572	4.359098133	4.993529001	5.491876726	6.41863868	6.045305791	5.262234569	5.509740705	5.567716658	5.642813019
10.m00080_s_at	7.027228894	7.607182256	6.064970014	5.902673091	5.334665827	5.070196514	7.089581839	6.865877725	5.679105883	5.737281789	6.350178715	6.280475433	6.004127149	5.63808473
10.m00081_at	3.723982684	3.447776832	3.461100365	3.428399859	3.420734199	3.365810267	3.12295606	3.582208727	3.423786842	3.35390566	3.291741259	3.775153152	3.475880065	3.484804156
100.m00002_at	4.00281915	3.931228866	3.797824223	3.445169139	4.215347622	3.801745914	4.455153894	4.025039051	3.776601155	3.895965176	3.969952442	3.966998756	4.187174778	3.48587841
100.m00002_x_at	3.607347763	3.471511488	3.417521234	3.43160597	3.489726697	3.285618591	3.754824994	3.317122965	3.82098599	3.618612783	3.654535003	3.554898539	3.849725768	3.413253785
107.m00007_s_at	3.284116749	3.384011826	4.641957677	4.239228773	3.999042221	4.323395744	3.850026037	3.300413185	3.464697216	3.191915326	3.628231844	3.925876638	3.825062117	4.177444746
107.m00010_at	2.898625767	3.130573901	2.989572036	3.126986958	2.982215018	3.150145327	2.942100595	3.120944889	2.845372458	3.144781063	3.2322447	3.507939534	2.65019162	2.953183867
108.m00006_at	3.297760969	2.904817454	2.988841983	2.782939895	2.986740571	3.041853794	2.819080995	2.886224307	3.015288136	3.19096927	2.947518959	2.781554248	3.173376533	3.237429054
108.m00006_x_at	2.681036474	3.080029986	3.051195652	3.473668964	3.535306018	3.138093683	2.795733704	3.240273348	3.417060067	2.845847372	3.665357968	3.606490929	3.301895688	2.981437986
113.m00001_at	5.998955251	6.249901297	5.228162238	4.32486541	4.581714557	4.762275924	4.99192746	4.948277904	6.382921608	6.103336764	5.755050711	5.57526973	5.443943965	5.492587775
113.m00009_at	3.850005212	4.234208519	5.477119156	4.403713213	4.761561981	4.664802888	5.095663692	5.231197583	6.027222734	5.982903471	5.537808357	5.30122878	5.314782462	5.445899309
113.m00012_at	5.602456006	5.63861486	3.439150881	3.498190088	4.123699205	4.441410033	5.611963826	5.484011608	6.360963468	6.447244856	6.687842787	6.713748415	6.614485715	6.656600498
113.m00015_at	8.014976633	8.803852641	8.438153341	8.629394226	8.693949853	8.52645391	3.979589189	4.37823367	4.662251462	5.067612267	5.358020052	5.53005489	5.307506078	5.289014011
113.m00016_at	8.213370709	7.628170529	7.080700875	7.610797657	7.816893204	7.816189754	6.00680341	6.238559971	7.645407627	7.701838502	8.232764216	8.203009444	8.296563908	8.11175861
113.m00753_at	3.767449163	3.665903765	4.21209526	3.495631956	3.768377239	3.799643015	3.649826428	3.669864751	3.702858643	3.773697153	3.947816619	3.681115027	3.596079164	3.46939476
113.m00755_at	3.574683213	4.200114008	6.048899275	5.285024562	4.745050126	4.784978213	5.28634022	5.34442629	6.646074833	6.53830654	5.804040557	5.796548037	5.596125428	5.662388716
113.m00756_at	5.090268678	4.456722354	3.773161015	3.644454197	4.563123006	4.485420251	4.113065265	4.218731353	4.305916991	4.344726649	4.506522453	4.381725587	4.493532597	4.664506801
113.m00757_at	6.491671877	6.935218106	4.437599823	4.417783764	4.503636817	4.453302984	4.296305064	4.22096573	4.530535659	4.599243787	4.441360687	4.566682516	4.199486851	4.817176693
113.m00758_at	3.755969931	3.840255447	3.628894005	3.525987578	3.674830844	3.239274819	3.050746998	3.002983331	3.056992596	3.359656843	2.802789369	3.413248856	2.723582915	2.905109567
113.m00760_at	3.846489222	4.220103621	5.72250481	5.262986119	5.358093703	5.180088006	4.048794275	4.45461397	4.662061714	4.488285513	4.414857104	3.965657081	4.598281501	4.779532314
113.m00761_at	4.522949285	3.98656321	3.137292336	3.562601245	4.619186529	4.706072522	3.932521966	4.243672097	4.91753017	4.619637023	4.608362325	4.612679849	4.232018103	4.659217832
113.m00762_at	5.988550537	6.899336027	5.006417304	3.954999032	3.309912665	4.17389885	4.494072282	4.150179411	4.810153932	5.088966301	4.921565106	5.072932815	5.257968836	4.904091973
113.m00764_at	3.638766708	3.567128625	3.64465169	3.988940618	3.437202297	3.429218636	3.435771124	3.151418616	3.27604101	3.643108714	3.32193148	3.776546623	3.743559411	3.83274763
113.m00765_at	4.049311261	4.082793739	5.650879553	5.495455792	4.76173799	4.537259109	4.136846545	4.326828593	5.368308704	5.254524036	4.506939991	4.521823583	4.441611354	4.593766905
113.m00766_at	3.563548625	4.143828813	3.428776818	3.660031209	3.767412351	3.7993865	3.650340935	3.493480009	3.929648924	3.966376483	3.766096677	3.68119796	3.777062466	3.587300482
113.m00767_at	3.559716209	3.702141342	3.526023879	3.807159068	3.8831587	3.740758931	3.843317646	3.699652507	3.484290774	3.454348627	3.647132359	3.92015768	3.15718739	3.797729678
113.m00768_at	3.892553385	3.970479526	3.240866721	3.434670634	3.593809116	3.184436932	3.088920081	3.199976676	3.703000672	3.592900583	3.220489959	3.406299946	3.882371807	4.130483573
113.m00769_at	4.00011718	3.923153409	3.46332155	3.947050948	3.450305844	3.425254474	4.417669676	3.864556857	4.777738615	5.101594986	4.977323298	5.261588092	4.908729027	5.293094849
113.m00770_at	3.09496211	2.728964779	2.988925417	3.010013197	2.814516024	3.152251842	3.113842806	2.887512723	3.072631527	3.190344161	3.17861371	3.017195726	2.830837359	3.015675901
113.m00770_x_at	3.13636605	2.789865599	2.990811946	3.360988638	3.09147676	2.862650439	2.719252666	3.375939253	3.301364962	3.430177475	3.43944677	3.076867459	2.642175956	3.32559527
113.m00771_at	3.167500829	2.876914607	5.353538543	4.473981797	4.919607873	4.54348471	3.439097106	3.366721378	3.114303863	2.866962123	2.881878574	2.723816174	2.79235918	2.788772217
113.m00772_at	3.551333536	3.84713662	3.696645995	3.311915302	3.325924347	3.193292358	3.716945843	3.737187387	3.69278687	3.96626129	3.562443109	3.63799793	3.691811581	3.677349487
113.m00773_at	4.573264231	4.807627306	3.741924561	4.047370008	4.400411079	3.616330377	4.944047749	4.61561228	5.506348188	5.134407358	5.190711798	5.387149615	5.174447421	5.102043994
113.m00774_at	3.918219695	3.513014045	4.400401222	3.899200776	4.421183592	4.061108189	4.368110544	4.2376604	3.975863256	4.120738314	4.547977327	4.192085506	4.336922023	4.449090532
113.m00775_at	8.391075322	8.231717408	5.813239367	5.289951265	5.640255675	5.805444788	3.896946511	3.558414531	3.22930164	3.230181203	3.177487338	3.387600412	3.027628083	2.628808557
113.m00776_at	3.6522593	3.831037957	4.42924273	3.44134173	3.785681778	3.496686262	3.212393373	3.358828874	4.42355426	3.96156244	4.465764553	4.232842364	4.395864857	4.827350957
113.m00777_at	3.53214934	3.669990835	5.843737036	4.941975584	5.523254027	5.575664398	3.739374618	3.512812736	3.262886675	3.149497382	3.446196966	3.464793093	3.405057926	3.55761929
113.m00778_at	9.034343335	9.323188197	7.546441603	6.198744021	7.24928709	7.373845664	4.186399935	4.01584951	3.408999616	3.789030235	3.68643987	4.027347153	4.369492332	4.393554956
113.m00779_at	4.654483203	4.630724808	4.258416621	5.00641107	4.71957363	4.908422952	4.632764103	4.406941637	5.070710313	4.798553562	5.166469491	5.010000514	4.816602314	5.121310474
113.m00780_at	5.331868553	5.121385742	5.98369259	5.874651158	5.741558447	5.754703395	5.302785567	5.409142144	5.999060516	5.743960667	5.792993861	5.879591991	5.955545285	5.865264438
113.m00781_at	3.824943149	3.620717002	3.589714726	3.908593312	3.683384101	4.170266113	3.252205619	3.487264648	3.670068623	3.676228044	3.647081007	3.682371438	3.782849978	3.927124729
113.m00782_at	5.06955563	5.133801286	6.244525143	5.741283176	5.170808607	5.328715484	5.257505156	5.28720093	5.96642858	5.920326375	6.203595739	6.182431606	6.039964975	6.030929704
113.m00783_at	3.593208116	3.853124378	4.153071272	4.120786544	3.393521196	3.766623163	3.017218245	3.534587556	3.670741781	3.653524863	3.731344907	3.883227012	3.485254691	3.650371144
113.m00785_at	5.191388616	4.942373353	4.918258606	4.701713969	4.566441305	4.514902251	3.76044325	4.186661409	4.191082481	4.097233624	3.998120607	4.36405663	3.918823014	4.196180755
113.m00786_at	3.861946645	3.591104582	4.095539148	4.31103176	4.354188667	4.264232707	3.902869902	3.870702551	4.105915089	4.298923782	3.78336888	3.940544675	4.169064542	4.356356064
113.m00787_at	3.851052326	3.627675736	4.1557493	4.418750782	4.5472748	4.702113765	4.169164288	4.335872584	4.829081048	4.659756471	3.923500962	4.593735325	4.654063964	4.754740335
113.m00788_at	4.26346321	4.334464458	4.493817919	4.090773391	3.872218593	3.70916739	4.055434538	3.553289862	3.420701096	3.687280339	3.757397337	3.853994721	3.922597657	3.704258503
113.m00789_at	4.044218663	4.134143189	3.973838908	4.344990127	3.832829454	3.795432151	4.902859582	4.777322418	4.835204335	4.664016412	4.075223479	4.347715685	4.432403608	4.513266626
113.m00790_at	4.719771206	4.746620115	5.104940629	4.243185426	3.934873925	3.628008369	3.857364412	3.899578	3.642767356	3.396064159	4.161301071	3.89569123	4.362703038	4.693817585
113.m00791_at	3.580611163	3.459566935	3.481667451	3.608782147	3.911230996	3.684019884	3.608223435	3.448409837	4.226625501	3.917002213	3.758535067	4.063951336	3.803678174	4.111588271
113.m00792_at	4.126254599	3.659000629	7.984008231	6.687051533	6.847189185	6.966692495	4.406481104	4.171882667	4.725028084	5.026042683	4.316048973	3.66835373	3.699130173	3.798336502
113.m00793_at	3.885743983	4.318523593	3.532220004	4.516340955	4.064237198	4.126833938	3.785142156	3.95256805	4.249841176	4.143320544	4.138918589	3.904912004	4.583477541	4.604443949
