Gene.Name.or.Symbol	logFC	test	stage
HDAC5	1.078493446	1	Oocyst_4vs0d
AP2VIIA7	-0.872792064	-1	Oocyst_4vs0d
AP2VIIA5	-0.447533233	0	Oocyst_4vs0d
AP2VIIA4	0.102948785	0	Oocyst_4vs0d
AP2VIIA3	0.373988356	0	Oocyst_4vs0d
MYSTB	-0.236675924	0	Oocyst_4vs0d
SAG2C	-1.390676002	-1	Oocyst_4vs0d
AP2IV5	1.150759147	1	Oocyst_4vs0d
AP2X7	0.362440073	0	Oocyst_4vs0d
AP2X8	1.044587863	1	Oocyst_4vs0d
AP2X10	1.262738188	1	Oocyst_4vs0d
AP2X11	-0.317746536	0	Oocyst_4vs0d
AP2XI5	-0.44443572	0	Oocyst_4vs0d
AP2V1	1.03393131	1	Oocyst_4vs0d
AP2X4	0.677426923	1	Oocyst_4vs0d
AP2X3	-0.239893756	0	Oocyst_4vs0d
AP2X2	0.437996972	0	Oocyst_4vs0d
SIR2	0.297869647	0	Oocyst_4vs0d
HDAC3	-0.144592378	0	Oocyst_4vs0d
AP2X1	0.282274295	0	Oocyst_4vs0d
AP2VIII2	-0.37841646	0	Oocyst_4vs0d
SAG1	2.596954065	1	Oocyst_4vs0d
AP2VI1	0.156886695	0	Oocyst_4vs0d
AP2VI2	-0.246628997	0	Oocyst_4vs0d
GCN5B	-0.299746912	0	Oocyst_4vs0d
AP2XII3	3.000688035	1	Oocyst_4vs0d
AP2XII4	0.776191527	1	Oocyst_4vs0d
AP2XII6	0.011137793	0	Oocyst_4vs0d
HDAC2	0.473637858	1	Oocyst_4vs0d
AP2III1	-0.078484669	0	Oocyst_4vs0d
AP2III2	-0.649412974	-1	Oocyst_4vs0d
GCN5A	-0.135941512	0	Oocyst_4vs0d
AP2VIIB3	0.08016846	0	Oocyst_4vs0d
BAG1	-1.324999787	-1	Oocyst_4vs0d
AP2VIII7	1.05839699	1	Oocyst_4vs0d
AP2VIII6	0.354680806	0	Oocyst_4vs0d
SAG2A	2.292439826	1	Oocyst_4vs0d
AP2VIII3	0.83889061	1	Oocyst_4vs0d
AP2VIIA2	1.434075066	1	Oocyst_4vs0d
HDAC1	-0.513623774	0	Oocyst_4vs0d
AP2VIIA8	0.20200876	0	Oocyst_4vs0d
AP2VIIA9	-0.269093445	0	Oocyst_4vs0d
AP2IX4	1.572574941	1	Oocyst_4vs0d
AP2IX5	-1.419445734	-1	Oocyst_4vs0d
AP2IX6	-1.377655747	-1	Oocyst_4vs0d
LDH2	-0.620602635	-1	Oocyst_4vs0d
AP2III3	-1.34803538	-1	Oocyst_4vs0d
AP2XI1	-0.272360471	0	Oocyst_4vs0d
AP2XI4	0.899191206	1	Oocyst_4vs0d
MYSTA	-0.513293642	-1	Oocyst_4vs0d
AP2IV2	-0.954412997	-1	Oocyst_4vs0d
AP2IV1	-0.853008003	-1	Oocyst_4vs0d
HDAC5	1.315616353	1	Oocyst_10vs0d
AP2VIIA7	-1.07886175	-1	Oocyst_10vs0d
AP2VIIA5	-0.415601146	0	Oocyst_10vs0d
AP2VIIA4	-0.232581749	0	Oocyst_10vs0d
