Gene.ID	ToxoDB_ID	Gene.Name.or.Symbol	Oocyst_4vs0d_logFC	Oocyst_4vs0d_test	Oocyst_10vs0d_logFC	Oocyst_10vs0d_test	Tachy_2dpi_vitro_vs_Oocyst_0d_logFC	Tachy_2dpi_vitro_vs_Oocyst_0d_test	Brady_4dpi_vitro_vs_Oocyst_0d_logFC	Brady_4dpi_vitro_vs_Oocyst_0d_test	Brady_8dpi_vitro_vs_Oocyst_0d_logFC	Brady_8dpi_vitro_vs_Oocyst_0d_test	Brady_21dpi_vivo_vs_Oocyst_0d_logFC	Brady_21dpi_vivo_vs_Oocyst_0d_test
TGME49_227620	42.m00015	GRA2	3.4385930455	1	3.50070465400001	1	4.432392502	1	4.1790250575	1	4.1602194055	1	4.028336041	1
TGME49_270250	59.m00089	GRA1	4.654260834	1	4.3876996395	1	3.7876474745	1	3.4092482945	1	3.458666987	1	4.016404071	1
TGME49_286450	76.m00004	GRA5	4.038114204	1	3.9573882415	1	3.5887240375	1	3.7490746975	1	3.40696147	1	3.824792185	1
TGME49_203310	20.m00005	GRA7	4.5630583215	1	4.7152338305	1	3.7579215005	1	2.0062676305	1	2.798817305	1	3.298852617	1
TGME49_288650	80.m02161	GRA12	4.232596982	1	4.091588288	1	3.4649788805	1	2.368201557	1	2.8673258465	1	3.310487742	1
TGME49_266070	57.m01771	RPL31	1.75670131	1	2.7004293205	1	3.805976764	1	3.361674106	1	3.6151277695	1	4.7392546865	1
TGME49_200360	8.m00004	N/A	4.354493367	1	4.1097406425	1	3.4960419875	1	2.3637643125	1	2.931292355	1	2.618703427	1
TGME49_271930	59.m03599	N/A	4.053917927	1	3.6837509835	1	2.954502828	1	2.9666877455	1	2.8300501895	1	3.337735236	1
TGME49_224130	42.m03335	N/A	4.032970676	1	3.4829655445	1	3.1233044245	1	3.2890128035	1	2.97341749	1	2.697496007	1
TGME49_232030	44.m00039	N/A	4.7583374775	1	3.3936458125	1	2.7444820415	1	2.8586317965	1	3.2718071485	1	2.550294295	1
TGME49_204530	20.m05914	MIC11	4.6670083965	1	4.182207233	1	3.182639203	1	1.918916882	1	2.3808689835	1	2.751447055	1
TGME49_249250	50.m03286	RPL35A	1.938246002	1	2.790015604	1	3.3924762805	1	3.453692244	1	3.3100327155	1	3.898297002	1
TGME49_232940	44.m02755	HSP20	4.579797856	1	3.806199327	1	2.96472963	1	2.2205100295	1	2.59715701	1	2.5039557525	1
TGME49_258470	55.m04760	N/A	3.80485871450001	1	4.0250649255	1	2.866384	1	2.866589185	1	2.9273724875	1	2.0382330935	1
TGME49_250710	50.m00010	MIC10	4.5128463715	1	4.231300492	1	3.287083348	1	0.951833265500002	1	2.010101985	1	3.0667043565	1
TGME49_205700	20.m03930	N/A	0.935286480000004	1	1.787917522	1	3.493436813	1	3.750520652	1	3.5883768685	1	3.842098642	1
TGME49_223050	41.m01387	RPS20	0.656990076500001	0	2.47722907	1	3.7843345655	1	3.841277541	1	3.8602387885	1	2.708623188	1
TGME49_242340	49.m03285	RPS29	-1.096471145	-1	1.1401016955	1	4.006695848	1	4.275146724	1	4.051803602	1	4.896369078	1
TGME49_319560	641.m00002	MIC3	3.820367939	1	3.558654254	1	3.111171271	1	2.03101412	1	2.444528396	1	2.0000926835	1
TGME49_205330	20.m03902	N/A	4.650998885	1	3.0613243755	1	2.079250231	1	2.3063070605	1	2.082895401	1	2.6855669855	1
TGME49_275440	63.m00002	GRA6	3.253994787	1	3.489142983	1	2.9499434185	1	2.3152203975	1	2.552092511	1	2.2960120575	1
TGME49_254720	52.m00002	GRA8	3.7789108695	1	4.0866928445	1	3.5260481965	1	1.94223912	1	2.5314748	1	0.950953795500002	1
TGME49_293780	83.m01238	N/A	2.2876941385	1	1.922337167	1	1.459714082	1	3.564485981	1	3.3281239195	1	4.228450453	1
TGME49_215530	33.m01373	N/A	3.5824229805	1	2.7504694845	1	2.609286408	1	2.755468128	1	2.6905906945	1	2.3538634745	1
TGME49_267060	57.m01833	RPL14	1.135925751	1	2.235743865	1	3.193299156	1	3.1804284005	1	3.27557768	1	3.482744564	1
TGME49_202020	20.m00351	N/A	2.588914445	1	2.027397774	1	1.0386399465	1	3.911553748	1	3.634729783	1	3.2924968975	1
TGME49_295360	86.m00365	N/A	3.834571246	1	3.2931419475	1	2.248644665	1	2.404218257	1	2.802617208	1	1.572392416	1
TGME49_279100	67.m00007	N/A	3.391089308	1	3.00348915	1	3.2897556665	1	2.2259456695	1	2.7824503895	1	1.458009061	1
TGME49_239760	49.m05661	RPL22	-0.0603901554999968	0	0.921656494500002	1	3.4634086725	1	3.758739145	1	3.6693819455	1	4.3400243275	1
TGME49_309810	583.m00610	RPP2	1.5120239175	1	2.306375092	1	2.797541144	1	2.9615173505	1	2.897542191	1	3.5933745765	1
TGME49_280380	72.m00001	N/A	4.365327467	1	3.598542031	1	2.7268581625	1	1.140713735	1	2.194449846	1	2.023722637	1
TGME49_316310	583.m00021	SOD	0.100538724500002	0	1.739887894	1	3.3550161645	1	3.3842290015	1	3.6379522115	1	3.4559357925	1
TGME49_226020	42.m00066	N/A	3.943317937	1	3.171109161	1	2.368574681	1	1.8616014405	1	2.099815963	1	2.1033044825	1
TGME49_239740	49.m03169	GRA14	4.112570828	1	3.6669310965	1	2.3908626005	1	1.464025858	1	1.9389326155	1	1.634546131	1
TGME49_273760	59.m00003	HSP70	1.8935869185	1	2.308275081	1	2.611182096	1	3.1661929725	1	3.0541183225	1	2.002566111	1
TGME49_277080	65.m00002	MIC5	3.5996732055	1	3.2838714645	1	3.2926412235	1	0.9569106025	1	1.995660668	1	1.9014680735	1
TGME49_213280	31.m00928	SRS25	4.03454739	1	4.790221339	1	2.098006459	1	0.739516070500001	1	1.8345991795	1	1.429535086	1
TGME49_314260	583.m09134	N/A	2.9169308865	1	2.5047545375	1	1.7175595325	1	2.5779272975	1	2.602105354	1	2.602036227	1
TGME49_314250	583.m09133	BRP1	3.309151591	1	2.542820895	1	-0.161037423499996	0	3.0639582255	1	2.4628976095	1	3.6896513755	1
TGME49_270240	59.m00006	MAG1	-0.110967181999997	0	0.547705222500003	1	2.454900805	1	4.2561053355	1	4.0583955715	1	3.697991345	1
TGME49_246550	50.m00027	ASP3	4.0858021725	1	2.959035154	1	2.4682917445	1	1.7325647925	1	1.820721345	1	1.752626947	1
TGME49_208450	25.m00003	PI2	4.5654748685	1	3.983992625	1	2.0230602585	1	0.602635083	0	1.591977655	1	2.0113764825	1
TGME49_293790	83.m01239	N/A	1.8492510835	1	1.4309245885	1	0.187941384500002	0	3.177009929	1	3.3988402895	1	4.6769514685	1
TGME49_267400	57.m00005	RPL32	-0.420002047999998	0	1.4709097555	1	3.07069947	1	3.316113204	1	3.199189304	1	3.918781892	1
TGME49_200230	8.m00176	MIC17C	4.2744420575	1	2.361134829	1	0.565738536999999	1	1.7466108165	1	2.276036867	1	3.0574758	1
TGME49_203790	20.m00390	N/A	3.768201744	1	2.373964381	1	1.549417086	1	1.97885539	1	2.411135978	1	2.19701807	1
TGME49_214290	33.m02668	N/A	1.9183445485	1	2.261614794	1	2.269568713	1	2.714152051	1	2.6290677355	1	2.375718354	1
TGME49_227280	42.m00013	GRA3	0.185704649000001	0	1.6902175525	1	3.2917022235	1	2.866935825	1	2.9394914245	1	3.1494376145	1
