PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_0103800	7.672089837	43.77364674	0.890876167	2.070368819	0	0
PF3D7_0103900	38.36044919	78.06300336	120.2682825	87.25125737	17.36390591	9.46667311
PF3D7_0104000	0	2.918243116	3.563504667	0.591533948	3594.328524	3921.569336
PF3D7_0104100	19.94743358	34.28935662	2.6726285	1.183067897	4714.300456	4757.003238
PF3D7_0104200	24.55068748	20.42770181	16.92664717	22.18252306	208.366871	239.033496
PF3D7_0104300	287.7033689	93.38377972	87.30586434	69.50523893	295.1864005	359.7335782
PF3D7_0104400	39.89486715	81.71080726	69.48834101	65.36450129	153.3811689	191.7001305
PF3D7_0104500	19.94743358	12.40253324	92.65112134	81.63168487	0	0
PF3D7_0104600	12.27534374	7.295607791	9.799637834	5.619572509	0	2.366668277
PF3D7_0104700	6.904880854	20.42770181	0	0.591533948	0	0
PF3D7_0104800	6.13767187	10.21385091	89.08761668	94.34966475	818.9975623	785.7338681
PF3D7_0104900	177.2252752	105.0567522	243.2091935	152.6157587	382.0059301	437.8336313
PF3D7_0105000	16.87859764	7.295607791	43.65293217	32.23860018	0	2.366668277
PF3D7_0105100	1.534417967	4.377364674	17.81752334	23.95712491	0	0
PF3D7_0105200	21.48185154	35.0189174	216.4829085	191.3612323	14.4699216	14.20000966
PF3D7_0105300	6.904880854	13.13209402	22.27190417	20.99945516	5.787968638	4.733336555
PF3D7_0105400.1	0	0	0.890876167	0.295766974	0	0
PF3D7_0105400.2	0	0	0	0	0	0
PF3D7_0105500	4.603253902	10.94341169	29.3989135	27.5063286	14.4699216	14.20000966
PF3D7_0105600	49.86858394	29.18243116	41.87117984	44.6608131	590.3728011	565.6337183
PF3D7_0105700	34.52440427	67.11959167	204.9015184	226.8532692	127.33531	111.233409
PF3D7_0105800	15.34417967	50.33969376	84.63323584	85.18088856	66.56163934	78.10005316
PF3D7_0105900	11.50813476	23.34594493	17.81752334	19.81638727	17.36390591	16.56667794
PF3D7_0106000	9.973716789	16.77989792	39.19855134	48.21001679	78.13757662	78.10005316
PF3D7_0106100	46.79974801	51.06925454	58.79782701	47.02694889	23.15187455	28.40001933
PF3D7_0106200	1.534417967	5.106925454	36.52592284	31.05553229	20.25789023	7.100004832
PF3D7_0106300	222.4906053	129.8618187	356.3504667	316.1748954	457.2495224	347.9002368
PF3D7_0106400	38.36044919	14.59121558	103.3416353	94.64543173	8.681952957	14.20000966
PF3D7_0106500	42.19649411	100.6793875	26.726285	23.95712491	0	0
PF3D7_0106600	0	0	1.781752334	1.774601845	0	0
PF3D7_0106700	95.13391398	29.18243116	143.4310628	140.4893127	34.72781183	21.3000145
PF3D7_0106800	13.80976171	29.18243116	30.28978967	34.90050295	23.15187455	11.83334139
PF3D7_0106900	12.27534374	26.26418805	18.7083995	17.1544845	2.893984319	0
PF3D7_0107000	76.72089837	140.8052304	88.19674051	107.9549456	8.681952957	7.100004832
PF3D7_0107100	3.836044919	13.8616548	13.3631425	16.26718358	92.60749821	94.6667311
PF3D7_0107200	3.836044919	2.918243116	11.58139017	14.49258173	8.681952957	4.733336555
PF3D7_0107300	42.19649411	79.52212492	6.236133167	2.366135793	920.2870135	930.1006331
PF3D7_0107400	6.13767187	19.69814104	48.107313	50.28038561	31.83382751	28.40001933
PF3D7_0107500	407.3879704	140.0756696	79.28797884	74.53327749	752.435923	736.0338343
