Gene.ID	Gene.Name.or.Symbol	Product.Description	Antisense.Sporozoite_vs_Oocyst_logFC	Antisense.Sporozoite_vs_Oocyst_test	Antisense.Blood_vs_Oocyst_logFC	Antisense.Blood_vs_Oocyst_test	Sense.Sporozoite_vs_Oocyst_logFC	Sense.Sporozoite_vs_Oocyst_test	Sense.Blood_vs_Oocyst_logFC	Sense.Blood_vs_Oocyst_test
PF3D7_1361800	GAC	glideosome-associated connector	6.28388977307019	1	4.20479075826946	1	10.9770183981339	1	6.86987969705435	1
PF3D7_1238000	N/A	COPI associated protein, putative	4.1691727189207	1	0.826133638907761	0	11.2171921945742	1	7.05652651664764	1
PF3D7_1335900	TRAP	thrombospondin-related anonymous protein	7.29553696888152	1	-0.827580623382641	0	13.4802784305002	1	2.19406572258909	1
PF3D7_1026500	N/A	conserved Plasmodium protein, unknown function	3.81967384697454	1	4.23448003181277	1	12.2894336459945	1	1.15467716586999	0
PF3D7_0217500	CDPK1	calcium-dependent protein kinase 1	5.2911426345518	1	2.79638313246786	1	8.90857827347633	1	4.17499815787007	1
PF3D7_1137800	SPELD	sporozoite surface protein essential for liver stage development, putative	5.61029859695862	1	0.257381876905196	0	13.9547614103452	1	1.25099970509343	0
PF3D7_0919500	MFS3	major facilitator superfamily domain-containing protein, putative	4.78821674306074	1	2.70392427437245	1	12.0086427639096	1	1.25099970493499	0
PF3D7_0506900	ROM4	rhomboid protease ROM4	3.8472446236399	1	1.64014924991076	0	8.62607790595036	1	5.60627994035243	1
PF3D7_0515400	N/A	conserved protein, unknown function	1.97876182584922	1	2.41834592345231	1	6.75967582707853	1	7.43591520457423	1
PF3D7_1362900	N/A	conserved Plasmodium protein, unknown function	2.6862805765526	1	4.72511175058231	1	4.8930368360393	1	6.20600482585434	1
PF3D7_0723300	N/A	conserved protein, unknown function	5.94067315770369	1	2.31512048531833	1	7.50210426985457	1	2.68773538580139	1
PF3D7_1318300	N/A	conserved Plasmodium protein, unknown function	3.97120838077397	1	4.01127919683382	1	6.14244079936837	1	4.05968285049677	1
PF3D7_0528400	DHHC7	palmitoyltransferase DHHC7	3.00820867048595	1	2.4183459237058	0	7.85504422241491	1	4.81111864349798	1
PF3D7_1331400	N/A	CPW-WPC family protein	3.27921384890052	1	4.54986312713965	1	3.77404091496116	1	5.934817859276	1
PF3D7_1023100	N/A	dynein heavy chain, putative	2.34724462395341	1	4.46630813400126	1	4.88860033789808	1	5.51939649823473	1
PF3D7_1030200	CLAMP	claudin-like apicomplexan microneme protein, putative	2.39379932573899	1	0.757381876833743	0	9.54426976339243	1	3.82976340273168	1
PF3D7_1362100	14-3-3II	14-3-3 protein	2.93220712439307	1	1.25738187711955	0	7.87955560377236	1	3.53793466057357	1
PF3D7_0916700	HoMu	RNA-binding protein musashi, putative	3.3952068331708	1	3.76856578285659	1	4.79875459157289	1	3.5949957229506	1
PF3D7_0406200	Pfs16	parasitophorous vacuole membrane protein S16	-0.106200674210756	0	4.1167910004202	1	4.58271613330624	1	6.79100900210006	1
