PlasmoDB_GeneID	ExonID	NCountsBloodR1	NCountsBloodR2	NCountsOocystR1	NCountsOocystR2	NCountsSporozoiteR1	NCountsSporozoiteR2
PF3D7_0100100	E001	0	0	0	0	0	0
PF3D7_0100100	E002	3.144530945	6.02620318	2.085748366	0.665131482	15.30455139	17.73243951
PF3D7_0100300	E001	0	0	0	0	0	0
PF3D7_0100300	E002	0	0	0	0.332565741	15.30455139	1.970271057
PF3D7_0115700	E001	0	0	0	0	0	0
PF3D7_0115700	E002	1.572265473	5.272927782	1.042874183	0	17.49091588	5.910813171
PF3D7_0200100	E001	1.572265473	0	0	0	0	0
PF3D7_0200100	E002	6.289061891	3.01310159	0	0.997697223	10.93182242	11.82162634
PF3D7_0223500	E001	0	0	0	0	0	1.970271057
PF3D7_0223500	E002	11.00585831	3.01310159	0	0.665131482	37.16819624	27.5837948
PF3D7_0300100	E001	0	0	0	0	0	0
PF3D7_0300100	E002	4.716796418	2.259826192	0	0.665131482	28.4227383	19.70271057
PF3D7_0400100	E001	0	0	0	0	0	0
PF3D7_0400100	E002	3.144530945	1.506550795	2.085748366	0	15.30455139	7.881084228
PF3D7_0400400	E001	3.930663682	0	0	0	0	0
PF3D7_0400400	E002	14.93652199	0.753275397	0	0	4.37272897	0
PF3D7_0412400	E001	0	0	0	0	0	1.970271057
PF3D7_0412400	E002	0	2.259826192	0	3.325657411	0	27.5837948
PF3D7_0412700	E001	0	0	0	0	0	0
PF3D7_0412700	E002	10.21972557	14.31223255	2.085748366	6.983880562	52.47274764	163.5324977
PF3D7_0413100	E001	0	0	0	0	0	0
PF3D7_0413100	E002	0	0	0	0	0	0
PF3D7_0420700	E001	0	0	0	0	0	0
PF3D7_0420700	E002	0	0	0	0	2.186364485	0
PF3D7_0420900	E001	0	0	0	0	0	0
PF3D7_0420900	E002	0	0	0	0	0	0
PF3D7_0421100	E001	0	0	0	0	0	0
PF3D7_0421100	E002	0	0	0	0	0	0
PF3D7_0421300	E001	2.358398209	0	0	0	0	0
PF3D7_0421300	E002	3.930663682	2.259826192	1.042874183	0	10.93182242	15.76216846
PF3D7_0426000	E001	0	0	0	0	0	0
PF3D7_0426000	E002	3.930663682	6.779478577	0	0.997697223	34.98183176	29.55406586
PF3D7_0500100	E001	0	0	0	0	0	0
PF3D7_0500100	E002	2.358398209	5.272927782	0	0.665131482	13.11818691	19.70271057
PF3D7_0533100	E001	3.930663682	0	0	0	0	0
PF3D7_0533100	E002						
PF3D7_0600200	E001	9.433592836	0	0	0	0	0
PF3D7_0600200	E002	1.572265473	1.506550795	0	0	4.37272897	11.82162634
PF3D7_0600400	E001	0	0	0	0	0	0
PF3D7_0600400	E002	0	0	0	0	0	0
PF3D7_0617400	E001	0	0	0	0	0	0
