	Antisense.PfBloodR1	Antisense.PfBloodR2	Sense.PfBloodR1	Sense.PfBloodR2	Antisense.PfOocystR1	Antisense.PfOocystR2	Sense.PfOocystR1	Sense.PfOocystR2	Antisense.PfSporozoiteR1	Antisense.PfSporozoiteR2	Sense.PfSporozoiteR1	Sense.PfSporozoiteR2
PF3D7_0103900	1.50875915816401	2.76290052451399	5.26154770889281	6.28656706431584	3.52079207167003	3.21010864889879	6.91011241073231	6.44710401690756	4.46299380206717	4.83638828115548	4.11801960506349	3.24285750584284
PF3D7_0104300	3.83068725355835	2.54050810317755	8.16843830437597	6.54510007790892	3.52079207167003	3.7506770301056	6.44800665790686	6.11904981939223	3.29306880093558	4.02903335922412	8.20548244646045	8.49078501936664
PF3D7_0104800	3.67868415977531	4.1254706038987	2.61769151902406	3.35245500040793	2.19886397615421	1.92060203173845	6.47715300367213	6.55994548643463	1.29306880108276	3.19895836037186	9.67771534754707	9.61789693713468
PF3D7_0104900	1.50875915816401	1.95554560245639	7.46944056006363	6.71502507955722	4.52079207104157	4.70487334076906	7.92605395460134	7.25376012851678	3.46299380206717	3.8363882806505	8.57745122400291	8.77423896623559
PF3D7_0105600	1.50875915816401	-0.0444543975436109	5.64005933194403	4.86702817267269	1.78382647708485	2.21010864889879	5.38788566558882	5.48093761216193	3.61499689538139	3.35096145428823	9.20548244670482	9.1437243137662
PF3D7_0105700	1.50875915816401	2.27747369734375	5.10954461540597	6.06866203388533	3.36878897822498	3.87996004729554	7.67878686509525	7.82561564040296	0.293068800494026	1.02903335869389	6.99248872290409	6.79744635696925
PF3D7_0105800	1.50875915816401	2.27747369734375	3.93961961344132	5.65362453482143	2.52079207116726	2.75067703031996	6.40315242212607	6.41245787425224	1.87803130160767	1.6139958596507	6.05661906079671	6.28725162524748
PF3D7_0106300	2.50875915816401	-0.0444543975436109	7.79760060912005	7.02083350917389	3.36878897822498	3.60865802493751	8.47715300359116	8.30457901060267	1.29306880108276	2.02903335869389	8.83683785284547	8.44252985071031
PF3D7_0107100	0.508759158670988	0.955545602456389	1.93961961400545	3.79302759112484	1.78382647708485	0.750677030105598	3.74018740929	4.0238925864085	0.293068800494026	2.6139958596507	6.53305710470583	6.5647856007302
PF3D7_0107500	4.20919887595411	3.27747369734375	8.67025956993003	7.13006257883607	2.78382647708485	2.33563953111256	6.30903024476919	6.21981279630985	4.10042372305626	4.11649620031851	9.55542491781817	9.52362827596854
PF3D7_0107600	2.09372165905416	1.54050810317755	3.7051543598596	5.03695317433472	2.52079207116726	0.750677030105598	2.83329681381643	3.73438596941059	5.15104979606823	4.67288954861001	10.2643761361983	9.57377438385334
PF3D7_0107700	4.75668667142081	5.04300844370673	3.7051543598596	5.8849500809385	6.85707545841443	5.49214401658688	4.92075965509059	4.26490068577585	6.8476576529984	6.64374320299666	7.41570015385908	7.30894669636885
PF3D7_0108300	4.59622199938452	3.76290052451399	9.16265595191085	7.7049714146052	4.00621889794247	3.33563953082675	8.0280536684722	8.10361977893645	3.99350851926914	4.83638828115548	11.2490190947644	11.0010807203478
PF3D7_0108400.1	2.09372165905416	-0.0444543975436109	2.78761652051861	3.35245500040793	0.198863976782672	-0.249322969894402	5.41825931440264	4.95677839059219	1.29306880108276	0.0290333594008652	3.85498520006055	3.82782000605601
PF3D7_0109100	0.508759158670988	3.41497722041739	6.26154770870477	8.18895626756006	0.198863976782672	1.55803195240818	1.83329681381643	-0.172504627281881	1.87803130160767	0.0290333594008652	6.57745122407845	7.07574751982043
PF3D7_0109400	0.508759158670988	2.76290052451399	5.57188782933512	7.21752541960173	4.19886397599709	4.47859748515413	7.48434850486041	7.79135478093763	1.29306880108276	1.6139958596507	6.28794460696739	5.76641946183359
PF3D7_0109500	1.50875915816401	1.95554560245639	6.62891877439265	7.33300263754363	0.198863976782672	0.335639531398374	4.78749312424249	4.81238848084136	0.293068800494026	1.02903335869389	6.7425104702632	6.79744635696925
PF3D7_0110000	2.09372165905416	4.20347311550844	6.48805623862756	8.16348558031062	1.19886397615421	0.335639531398374	2.41825931467254	3.45198623788958	1.29306880108276	0.0290333594008652	6.28794460696739	5.49078501920622
PF3D7_0110100	3.31611408029404	3.41497722041739	4.66208563816883	4.18895626795555	0.198863976782672	1.33563953082675	4.64065173593187	5.17327021043945	1.29306880108276	1.6139958596507	7.05661906101346	6.6004095104981
PF3D7_0110500	2.09372165905416	2.27747369734375	5.47567251423269	5.92013950920373	2.19886397615421	2.21010864889879	6.3410914539395	6.46653454691287	2.61499689585238	2.02903335869389	5.53305710486162	5.49078501920622
