Symbol	logFC	test	stage	parasite
GCN5A	-0.515023844	-1	Bradyzoite	Toxoplasma gondii
GCN5B	-0.301704918	0	Bradyzoite	Toxoplasma gondii
HDAC1	-0.906061163	-1	Bradyzoite	Toxoplasma gondii
HDAC2	0.531082236	1	Bradyzoite	Toxoplasma gondii
HDAC3	0.894801932	1	Bradyzoite	Toxoplasma gondii
HDAC5	0.401235138	0	Bradyzoite	Toxoplasma gondii
MYSTA	-0.496485904	-1	Bradyzoite	Toxoplasma gondii
MYSTB	-0.277733001	0	Bradyzoite	Toxoplasma gondii
SIR2	0.010324405	0	Bradyzoite	Toxoplasma gondii
GCN5A	-0.247085253	0	Tachyzoite	Toxoplasma gondii
GCN5B	0.063054378	0	Tachyzoite	Toxoplasma gondii
HDAC1	-0.820627054	-1	Tachyzoite	Toxoplasma gondii
HDAC2	0.662894256	1	Tachyzoite	Toxoplasma gondii
HDAC3	0.771726905	1	Tachyzoite	Toxoplasma gondii
HDAC5	0.505992872	0	Tachyzoite	Toxoplasma gondii
MYSTA	-0.528123382	-1	Tachyzoite	Toxoplasma gondii
MYSTB	-0.092480118	0	Tachyzoite	Toxoplasma gondii
SIR2	-0.918598177	-1	Tachyzoite	Toxoplasma gondii
DOT1A	-0.744735001	0	Initial amastigote	Leishmania donovani
HDAC	0.163334865	0	Initial amastigote	Leishmania donovani
HDAC	-1.02599873	-1	Initial amastigote	Leishmania donovani
HAT	0.30491032	0	Initial amastigote	Leishmania donovani
DOT1B	-0.681355173	0	Initial amastigote	Leishmania donovani
HDAC	0.802939559	0	Initial amastigote	Leishmania donovani
HDAC	0.280670583	0	Initial amastigote	Leishmania donovani
HAT	-0.063661237	0	Initial amastigote	Leishmania donovani
DOT1	-0.253428386	0	Initial amastigote	Leishmania donovani
DOT1A	-1.536415318	-1	Final amastigote	Leishmania donovani
HDAC	-0.561041629	0	Final amastigote	Leishmania donovani
HDAC	-0.853691418	-1	Final amastigote	Leishmania donovani
HAT	0.609215882	0	Final amastigote	Leishmania donovani
DOT1B	-1.550010968	-1	Final amastigote	Leishmania donovani
HDAC	0.115040555	0	Final amastigote	Leishmania donovani
HDAC	0.669031458	0	Final amastigote	Leishmania donovani
HAT	0.658096085	0	Final amastigote	Leishmania donovani
DOT1	-0.595243336	0	Final amastigote	Leishmania donovani
HDAC1	0.564626816	0	asexual blood stage	Plasmodium falciparum
SET1	0.588754657	0	asexual blood stage	Plasmodium falciparum
SET2	-0.048932302	0	asexual blood stage	Plasmodium falciparum
SET7	3.431312321	1	asexual blood stage	Plasmodium falciparum
SET8	3.764336191	1	asexual blood stage	Plasmodium falciparum
SET9	2.177003937	1	asexual blood stage	Plasmodium falciparum
HAT	1.5	1	amastigotes	Trypanosoma cruzi
HDAC	0.61	0	amastigotes	Trypanosoma cruzi
HDAC	1.52	1	amastigotes	Trypanosoma cruzi
HDAC1	1.03	1	amastigotes	Trypanosoma cruzi
HDAC	0.67	0	amastigotes	Trypanosoma cruzi
HDAC	-0.16	0	amastigotes	Trypanosoma cruzi
HDAC	2.21	1	amastigotes	Trypanosoma cruzi
HAT	-0.01	0	trypomastigotes	Trypanosoma cruzi
HDAC	-1.06	-1	trypomastigotes	Trypanosoma cruzi
HDAC	1.4	1	trypomastigotes	Trypanosoma cruzi
HDAC1	0.93	0	trypomastigotes	Trypanosoma cruzi
HDAC	1.84	1	trypomastigotes	Trypanosoma cruzi
HDAC	-1.24	-1	trypomastigotes	Trypanosoma cruzi
HDAC	1.96	1	trypomastigotes	Trypanosoma cruzi
