Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	ORF	Symbol	ID
LINF_010005000	LINF_010005000-T1	Leishmania infantum JPCM5	"LinJ.01:3,710..4,711(-)"	Protein of unknown function (DUF2946)	protein coding	LinJ01.0010	N/A	4767651
LINF_010005100	LINF_010005100-T1	Leishmania infantum JPCM5	"LinJ.01:5,804..7,438(-)"	Endonuclease/Exonuclease/phosphatase family	protein coding	LinJ01.0020	N/A	4767652
LINF_010005200	LINF_010005200-T1	Leishmania infantum JPCM5	"LinJ.01:9,038..11,059(-)"	Kinesin-13	protein coding	LinJ01.0030	KIN13-1	4767653
LINF_010005300	LINF_010005300-T1	Leishmania infantum JPCM5	"LinJ.01:12,041..12,601(-)"	hypothetical protein - conserved	protein coding	LinJ01.0040	N/A	4767654
LINF_010005400	LINF_010005400-T1	Leishmania infantum JPCM5	"LinJ.01:14,957..16,954(-)"	carboxylase - putative	protein coding	LinJ01.0050	N/A	4767655
LINF_010005500	LINF_010005500-T1	Leishmania infantum JPCM5	"LinJ.01:18,110..18,859(-)"	hypothetical protein - conserved	protein coding	LinJ01.0060	N/A	4767656
LINF_010005600	LINF_010005600-T1	Leishmania infantum JPCM5	"LinJ.01:19,950..21,689(-)"	BSD domain containing protein - putative	protein coding	LinJ01.0070	N/A	4767657
LINF_010005700	LINF_010005700-T1	Leishmania infantum JPCM5	"LinJ.01:22,529..23,242(-)"	hypothetical protein - conserved	protein coding	LinJ01.0080	N/A	4767658
LINF_010005800	LINF_010005800-T1	Leishmania infantum JPCM5	"LinJ.01:24,799..25,617(-)"	UMP-CMP kinase - mitochondrial - putative	protein coding	LinJ01.0090	N/A	4767659
LINF_010005900	LINF_010005900-T1	Leishmania infantum JPCM5	"LinJ.01:26,313..27,269(-)"	Glycosyl transferase family 11 - putative	protein coding	LinJ01.0100	N/A	4767660
LINF_010006000	LINF_010006000-T1	Leishmania infantum JPCM5	"LinJ.01:28,369..28,956(-)"	monothiol glutaredoxin - putative	protein coding	LinJ01.0110	N/A	4767661
LINF_010006100	LINF_010006100-T1	Leishmania infantum JPCM5	"LinJ.01:30,160..32,133(-)"	hypothetical protein - conserved	protein coding	LinJ01.0120	N/A	4767662
LINF_010006200	LINF_010006200-T1	Leishmania infantum JPCM5	"LinJ.01:33,423..34,517(-)"	hypothetical protein - conserved	protein coding	LinJ01.0130	N/A	4767663
LINF_010006300	LINF_010006300-T1	Leishmania infantum JPCM5	"LinJ.01:36,819..37,067(-)"	hypothetical protein - conserved	protein coding	LinJ01.0140	N/A	4767664
LINF_010006400	LINF_010006400-T1	Leishmania infantum JPCM5	"LinJ.01:37,805..38,155(-)"	hypothetical protein - conserved	protein coding	LinJ01.0150	N/A	4767665
LINF_010006500	LINF_010006500-T1	Leishmania infantum JPCM5	"LinJ.01:39,020..39,262(-)"	LSM domain containing protein - putative	protein coding	LinJ01.0160	N/A	4767666
LINF_010006600	LINF_010006600-T1	Leishmania infantum JPCM5	"LinJ.01:41,389..42,762(-)"	hypothetical protein - conserved	protein coding	LinJ01.0170	N/A	4767667
LINF_010006700	LINF_010006700-T1	Leishmania infantum JPCM5	"LinJ.01:44,184..46,496(-)"	CLC-type chloride channel - putativeGeneDB:LmjF.01.0180	protein coding	LinJ01.0180	N/A	4767668
LINF_010006800	LINF_010006800-T1	Leishmania infantum JPCM5	"LinJ.01:47,933..48,556(-)"	hypothetical protein - conserved	protein coding	LinJ01.0190	N/A	4767669
LINF_010006900	LINF_010006900-T1	Leishmania infantum JPCM5	"LinJ.01:49,244..50,050(-)"	Low molecular weight phosphotyrosine protein phosphatase - putative	protein coding	LinJ01.0200	N/A	4767670
LINF_010007000	LINF_010007000-T1	Leishmania infantum JPCM5	"LinJ.01:51,015..53,711(-)"	UBA/TS-N domain/CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein - putative	protein coding	LinJ01.0210	N/A	4767671
LINF_010007100	LINF_010007100-T1	Leishmania infantum JPCM5	"LinJ.01:57,346..58,350(-)"	cyclophilin 12 - putative	protein coding	LinJ01.0220	CYP12	4767672
LINF_010007200	LINF_010007200-T1	Leishmania infantum JPCM5	"LinJ.01:61,569..61,985(-)"	hypothetical protein - conserved	protein coding	LinJ01.0230	N/A	4767673
LINF_010007300	LINF_010007300-T1	Leishmania infantum JPCM5	"LinJ.01:62,737..65,505(-)"	DNA excision/repair protein SNF2 - putative	protein coding	LinJ01.0240	N/A	4767674
LINF_010007400	LINF_010007400-T1	Leishmania infantum JPCM5	"LinJ.01:66,313..68,700(-)"	Right handed beta helix region/Periplasmic copper-binding protein (NosD) - putative	protein coding	LinJ01.0250	N/A	4767675
LINF_010007500	LINF_010007500-T1	Leishmania infantum JPCM5	"LinJ.01:70,170..71,015(-)"	Calmodulin-binding - putative	protein coding	LinJ01.0260	N/A	4767676
LINF_010007600	LINF_010007600-T1	Leishmania infantum JPCM5	"LinJ.01:72,375..72,698(-)"	thioredoxin - putative	protein coding	LinJ01.0270	N/A	4767677
