Gene ID	source_id	Gene Type	Input ID	Gene Name or Symbol	gene_source_id	EC numbers	Curated GO Process IDs	Curated GO Function IDs	Curated GO Component IDs	Genomic Sequence ID	
TGME49_200010	TGME49_200010-t26_1	protein coding gene	1.m00014	N/A	TGME49_200010	N/A	N/A	N/A	N/A	TGME49_chrXII	
TGME49_200110	TGME49_200110-t26_1	protein coding gene	2.m00067	N/A	TGME49_200110	N/A	N/A	N/A	N/A	TGME49_chrXII	
TGME49_200230	TGME49_200230-t26_1	protein coding gene	8.m00176	MIC17C	TGME49_200230	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200270	TGME49_200270-t26_1	protein coding gene	8.m00179	N/A	TGME49_200270	N/A	N/A	N/A	GO:0020009	TGME49_chrVIII	
TGME49_200280	TGME49_200280-t26_1	protein coding gene	8.m00180	N/A	TGME49_200280	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200290	TGME49_200290-t26_1	protein coding gene	8.m00181	ROM1	TGME49_200290	3.4.21.105 (Rhomboid protease)	N/A	N/A	GO:0005794;GO:0045177;GO:0005783	TGME49_chrVIII	
TGME49_200310	TGME49_200310-t26_1	protein coding gene	8.m00182	N/A	TGME49_200310	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200320	TGME49_200320-t26_1	protein coding gene	8.m00002	HXGPRT	TGME49_200320	2.4.2.8 (Hypoxanthine phosphoribosyltransferase)	N/A	N/A	GO:0005737;GO:0070258	TGME49_chrVIII	
TGME49_200330	TGME49_200330-t26_1	protein coding gene	8.m00184	N/A	TGME49_200330	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200340	TGME49_200340-t26_1	protein coding gene	8.m00375	N/A	TGME49_200340	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200350	TGME49_200350-t26_1	protein coding gene	8.m00185	SUB3	TGME49_200350	3.4.21.62 (Subtilisin)	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200360	TGME49_200360-t26_1	protein coding gene	8.m00004	N/A	TGME49_200360	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200370	TGME49_200370-t26_1	protein coding gene	8.m00187	N/A	TGME49_200370	2.5.1.58 (Protein farnesyltransferase)	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200385	TGME49_200385-t26_1	protein coding gene	8.m00188, 8.m00189	N/A	TGME49_200385	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200400	TGME49_200400-t26_1	protein coding gene	8.m00190	N/A	TGME49_200400	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200410	TGME49_200410-t26_1	protein coding gene	8.m00280	N/A	TGME49_200410	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200430	TGME49_200430-t26_1	protein coding gene	8.m00191	N/A	TGME49_200430	3.5.4.12 (dCMP deaminase)	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200440	TGME49_200440-t26_1	protein coding gene	8.m00192	N/A	TGME49_200440	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200450	TGME49_200450-t26_1	protein coding gene	8.m00374	N/A	TGME49_200450	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200460	TGME49_200460-t26_1	protein coding gene	8.m00279, 8.m00193	N/A	TGME49_200460	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_200470	TGME49_200470-t26_1	protein coding gene	8.m00194	N/A	TGME49_200470	N/A	N/A	N/A	N/A	TGME49_chrVIII	
TGME49_201100	TGME49_201100-t26_1	protein coding gene	20.m05895	N/A	TGME49_201100	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201110	TGME49_201110-t26_1	protein coding gene	20.m07355	N/A	TGME49_201110	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201120	TGME49_201120-t26_1	protein coding gene	20.m03645	N/A	TGME49_201120	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201130	TGME49_201130-t26_1	protein coding gene	20.m03646	ROP33	TGME49_201130	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201140	TGME49_201140-t26_1	protein coding gene	20.m03646	N/A	TGME49_201140	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201150	TGME49_201150-t26_1	protein coding gene	20.m03647	N/A	TGME49_201150	3.6.3.4 (Transferred entry: 7.2.2.9);3.6.3.8 (Transferred entry: 7.2.2.10)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201160	TGME49_201160-t26_1	protein coding gene	20.m03984	N/A	TGME49_201160	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201170	TGME49_201170-t26_1	protein coding gene	20.m03648	N/A	TGME49_201170	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201180	TGME49_201180-t26_1	protein coding gene	20.m03985	N/A	TGME49_201180	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201190	TGME49_201190-t26_1	protein coding gene	20.m05877	N/A	TGME49_201190	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201200	TGME49_201200-t26_1	protein coding gene	20.m03649	N/A	TGME49_201200	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201210	TGME49_201210-t26_1	protein coding gene	20.m03650	N/A	TGME49_201210	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201220	TGME49_201220-t26_1	protein coding gene	20.m03651	N/A	TGME49_201220	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201230	TGME49_201230-t26_1	protein coding gene	20.m05878	N/A	TGME49_201230	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201240	TGME49_201240-t26_1	protein coding gene	20.m03654	N/A	TGME49_201240	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201250	TGME49_201250-t26_1	protein coding gene	20.m03655	N/A	TGME49_201250	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201260	TGME49_201260-t26_1	protein coding gene	20.m00327	ST3	TGME49_201260	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201270	TGME49_201270-t26_1	protein coding gene	20.m00328	N/A	TGME49_201270	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201380	TGME49_201380-t26_1	protein coding gene	20.m00001	N/A	TGME49_201380	4.2.3.5 (Chorismate synthase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201390	TGME49_201390-t26_1	protein coding gene	20.m03659	N/A	TGME49_201390	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201400	TGME49_201400-t26_1	protein coding gene	20.m03660	SAP18	TGME49_201400	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201520	TGME49_201520-t26_1	protein coding gene	20.m00355	N/A	TGME49_201520	3.1.3.16 (Protein-serine/threonine phosphatase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201630	TGME49_201630-t26_1	protein coding gene	20.m05879	N/A	TGME49_201630	3.1.3.16 (Protein-serine/threonine phosphatase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201640	TGME49_201640-t26_1	protein coding gene	20.m03663	N/A	TGME49_201640	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201650	TGME49_201650-t26_1	protein coding gene	20.m03663	N/A	TGME49_201650	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201660	TGME49_201660-t26_1	protein coding gene	20.m03664	N/A	TGME49_201660	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201670	TGME49_201670-t26_1	protein coding gene	20.m03665	N/A	TGME49_201670	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
