Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	Gene Name or Symbol	
PF3D7_0103800	PF3D7_0103800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:169,079..171,273(-)	actin-related protein	protein coding	PF3D7_0103800	ARP1	
PF3D7_0103900	PF3D7_0103900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:172,864..174,591(+)	parasite-infected erythrocyte surface protein	protein coding	PF3D7_0103900	PIESP15	
PF3D7_0104000	PF3D7_0104000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:175,609..176,376(+)	thrombospondin-related sporozoite protein	protein coding	PF3D7_0104000	TRSP	
PF3D7_0104100	PF3D7_0104100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:178,087..180,790(+)	conserved Plasmodium membrane protein, unknown function	protein coding	PF3D7_0104100	N/A	
PF3D7_0104200	PF3D7_0104200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:182,822..184,222(-)	StAR-related lipid transfer protein	protein coding	PF3D7_0104200	N/A	
PF3D7_0104300	PF3D7_0104300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:190,269..201,230(+)	ubiquitin carboxyl-terminal hydrolase 1, putative	protein coding	PF3D7_0104300	UBP1	
PF3D7_0104400	PF3D7_0104400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:202,536..204,143(+)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	protein coding	PF3D7_0104400	LytB	
PF3D7_0104500	PF3D7_0104500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:204,622..205,455(-)	conserved protein, unknown function	protein coding	PF3D7_0104500	N/A	
PF3D7_0104600	PF3D7_0104600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:206,170..210,189(+)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0104600	N/A	
PF3D7_0104700	PF3D7_0104700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:210,870..213,005(+)	major facilitator superfamily-related transporter, putative	protein coding	PF3D7_0104700	MFR2	
PF3D7_0104800	PF3D7_0104800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:215,776..217,509(+)	novel putative transporter 1, putative	protein coding	PF3D7_0104800	NPT1	
PF3D7_0104900	PF3D7_0104900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:218,517..218,824(-)	RNase MRP	non protein coding	PF3D7_0104900	N/A	
PF3D7_0105000	PF3D7_0105000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:218,894..219,223(-)	non-coding RNA	non protein coding	PF3D7_0105000	N/A	
PF3D7_0105100	PF3D7_0105100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:221,202..221,633(+)	conserved Apicomplexan protein, unknown function	protein coding	PF3D7_0105100	N/A	
