ID	ORF	Product	Symbol	L.dono_2.5vs0hr_logFC	L.dono_2.5vs0hr_test	L.dono_5vs0hr_logFC	L.dono_5vs0hr_test	L.dono_7.5vs0hr_logFC	L.dono_7.5vs0hr_test	L.dono_10vs0hr_logFC	L.dono_10vs0hr_test	L.dono_15vs0hr_logFC	L.dono_15vs0hr_test	L.dono_24vs0hr_logFC	L.dono_24vs0hr_test	L.dono_144vs0hr_logFC	L.dono_144vs0hr_test
4772174	LinJ28.0980	oxidoreductase-like protein	N/A	2.87891552292458	0	3.28502593213106	1	4.52297359835863	1	4.73248977308908	1	5.41196833817201	1	5.55378037006239	1	4.44180580018262	1
4774177	LinJ34.0070	ascorbate peroxidase	APX	2.6437913612418	1	2.92918459047803	1	3.03725466032713	1	3.18222908122815	1	3.12728049436892	1	3.03504464857151	1	3.11913941842064	1
4772598	LinJ29.1890	hypothetical protein - conserved	N/A	1.23172090201216	0	1.7606871409398	0	3.07701634266781	1	2.78234875269358	1	3.50450995871479	1	3.50767660062105	1	3.23017916033287	1
4771824	LinJ27.0240	hypothetical protein - conserved	N/A	0.0574494296501049	0	0.254431152218338	0	2.00979266524466	0	1.46781235944781	0	4.52121145021259	1	4.37515160474636	1	4.58184788493407	1
4772916	LinJ30.2190	hypothetical protein - conserved	N/A	0.623697704768459	0	1.04949835129124	0	2.52460991803418	1	2.35186155476058	1	2.9332028398745	1	3.36120368306224	1	3.55824828075907	1
4769629	LinJ16.0400	XRN 5'-3' exonuclease N-terminus - putative	N/A	1.01889917590445	0	1.3053220226308	0	2.51783515623599	1	2.45206793273202	1	2.65583995645998	1	2.9120108224364	1	3.50962116296741	1
4774287	LinJ34.1080	Uncharacterised ACR - YggU family COG1872 - putative	N/A	0.974546939746139	0	1.72829936244029	0	1.12295537321466	0	1.86211748170542	0	2.0547327886547	1	2.43509727558954	1	3.32545817276147	1
4774341	LinJ34.1580	amastin-like surface protein - putative	N/A	0.250187028435512	0	0.534955975981768	0	1.50717438894168	0	1.79921729815172	1	1.72678776522252	1	2.17569486259955	1	4.03775530732894	1
4775532	LinJ36.3660	hypothetical protein - conserved	N/A	1.12796191902996	0	1.41710770425807	0	1.94097962623348	0	1.08006755706204	0	1.73830065438615	0	2.00633444793498	1	2.49743752560969	1
4775832	LinJ36.6540	COG (conserved oligomeric Golgi) complex component - COG2/Domain of unknown function (DUF3510) - putative	N/A	1.36556762809031	0	1.54927318117118	0	1.79225634535189	1	2.08827122157512	1	1.86623823877967	1	1.84187041814427	1	1.23090620687753	1
4769859	LinJ17.0890	hypothetical protein - conserved	N/A	0.982418347068428	0	1.37461093857542	0	1.70213600288411	1	1.86653595540709	1	2.11900798626713	1	2.01905779741514	1	1.3340847672146	1
4772175	LinJ28.0990	Tctex-1 family - putative	N/A	1.41018799738727	0	1.24355157063038	0	1.46333611128263	0	1.77182687759847	1	1.47453306142253	0	1.69551361280699	1	2.33546735556106	1
4773687	LinJ32.2590	eRF1 methyltransferase catalytic subunit - putative	N/A	1.54877813793848	1	1.65470070371383	1	1.76918353728881	1	1.43545681526202	1	1.96610284181606	1	1.74549990337123	1	1.23740580351155	1
4768490	LinJ08.0670	protein kinase - putative	N/A	0.0202375510159687	0	0.86587354599328	0	1.13974633257957	0	1.92497688082829	1	1.71964036341239	1	1.92532695005142	1	3.74487916593985	1
